gen,best,avg,valid_percent,time_elapsed_s
1,2109492.4606908634,2236010.9391482724,0.0,0
2,1902361.89610982,2112313.677738586,0.0,0
3,1902361.89610982,2024476.2909286034,0.0,0
4,1850187.2569290125,1909442.028442346,0.0,0
5,1850187.2569290125,1887096.2602869198,0.0,0
6,1821280.3940909908,1872391.355522594,0.0,0
7,1821280.3940909908,1890042.3763290457,0.0,0
8,1817289.8240679137,1872698.2567639877,0.0,0
9,1817289.8240679137,1928680.9293991583,0.0,0
10,1734737.7361859346,1852730.2523023556,0.0,0
11,1734737.7361859346,1873777.882637973,0.0,0
12,1734737.7361859346,1819031.5363923393,0.0,0
13,1734737.7361859346,1837786.6059944907,0.0,0
14,1715493.8293020981,1743895.7034474586,0.0,0
15,1715493.8293020981,1834099.734072289,0.0,0
16,1715493.8293020981,1829651.9767773352,0.0,0
17,1715493.8293020981,1779160.3253652903,0.0,0
18,1715493.8293020981,1785509.025530448,0.0,0
19,1662765.2725622444,1695449.9761344683,0.0,0
20,1662765.2725622444,1761289.396082011,0.0,0
21,1662765.2725622444,1758676.8722569502,0.0,0
22,1631623.2433133847,1685104.344080234,0.0,0
23,1631623.2433133847,1668271.0561741055,0.0,0
24,1631623.2433133847,1806625.486531109,0.0,0
25,1631623.2433133847,1662643.8357758438,0.0,0
26,1631623.2433133847,1722695.4852725898,0.0,0
27,1631623.2433133847,1757931.3124065432,0.0,0
28,1615188.4338698622,1713711.5450837014,0.0,0
29,1615188.4338698622,1695347.9017392972,0.0,0
30,1615188.4338698622,1680627.795895641,0.0,0
31,1574994.4338698622,1673706.65168391,0.0,0
32,1548704.0,1654614.3472348866,0.0,0
33,1548704.0,1627285.4190201857,0.0,0
34,1548704.0,1666136.065831039,0.0,0
35,1548704.0,1750025.674505928,0.0,0
36,1548704.0,1719335.61738994,0.0,0
37,1548704.0,1575586.679076856,0.0,0
38,1548704.0,1683559.413457178,0.0,1
39,1548704.0,1642340.1425834394,0.0,1
40,1548704.0,1616599.2384515046,0.0,1
41,1536901.0,1629932.4223567669,0.0,1
42,1536901.0,1611408.7811147035,0.0,1
43,1536901.0,1615919.304091974,0.0,1
44,1536901.0,1646031.4774404126,0.0,1
45,1536901.0,1665458.451223949,0.0,1
46,1536901.0,1623380.1730774606,0.0,1
47,1536901.0,1643827.8344235816,0.0,1
48,1536901.0,1674585.6537088703,0.0,1
49,1536901.0,1646910.4190482784,0.0,1
50,1536901.0,1666658.5527172547,0.0,1
51,1536901.0,1644871.5183002404,0.0,1
52,1536901.0,1640848.4692346142,0.0,1
53,1536901.0,1642473.7254894467,0.0,1
